AsBuilt_Name,Pages,Pipe_type
Edmonds Ln 522 Edmonds Square 2694,1,['Unknown']
Edmonds Ln 534 Roach Paint Company 2697,1,['Unknown']
Edmonds Ln 570 Quailcrest 2784,1,['Unknown']
Edmonds Ln 614 Edmonds Office Building 2607,1,['Good']
Edmonds Ln 650 McKee Office Park 2605,1,['Unknown']
Edmonds Ln 740 Mulkey Mason Funeral Home 2036-08,13,['Unknown' 'Good' 'Bad']
Edmonds Ln 740 The Village Greens Apartment 2636,1,['Unknown']
Edmonds Ln 901 Lewisville Board of Realtors 2783,1,['Unknown']
Edmonds Ln Spinks Rd 2510 Majestic Airport Center Building 3 Trailer Parking 2144-12,19,['Unknown' 'Good']
Elm St 189 Emporium 2 2693,1,['Unknown']
Elm St 206 Elm Centre Office Building 2583,1,['Good']
FM 3040 100 Lewisville Town Center - Phase 1 2736,8,['Unknown']
FM 3040 East 198 Bank of the Ozarks 2015-07,16,['Unknown' 'Good' 'Bad']
FM 3040 East 222 Legends Express Car Wash 2248-15,17,['Unknown' 'Good']
FM 3040 East 249 Round Grove United Church 2727,2,['Unknown']
FM 3040 East 340 Wells Fargo Bank Improvements - Parking lot - 2180-13,14,['Unknown' 'Good']
FM 3040 East 401 Lewisville Retail Building 2302-16,38,['Unknown' 'Bad' 'Good']
FM 3040 East 595 Panera Bread Cafe 2266-15,21,['Unknown' 'Good' 'Bad']
FM 3040 East 597 Sprint Store Point Vista Addition 2267-15,19,['Unknown']
FM 3040 West 1002 Lewisville Round Grove Commercial Center 2643,5,['Unknown']
FM 3040 West 101 Round Grove Village 2770,10,['Unknown' 'Good']
FM 3040 West 101 Self Service Gas_Convenience Station 2535,1,['Good']
FM 3040 West 1035 Quiktrip Store #941 2028-07,60,['Unknown' 'Good' 'Bad']
FM 3040 West 1058 GTE Exchange Building 2539,1,['Unknown']
FM 3040 West 1060 Crest Self Storage 2303-16,32,['Unknown']
FM 3040 West 1250 Lewisville High School South 2089-09,71,['Unknown' 'Bad' 'Good']
FM 3040 West 1250 Lewisville High School South Tennis Courts 2110-10,14,['Unknown' 'Good']
FM 3040 West 1250 Westside Aquatics Center 2163-12,27,['Unknown' 'Bad']
FM 3040 West 1257 Christian Brothers Automotive 2060-08,17,['Unknown' 'Good' 'Bad']
FM 3040 West 201 - Goodyear Tire - 2360-18,33,['Unknown' 'Good' 'Bad']
FM 3040 West 2488 Meadowglen Plaza 2131,4,['Unknown' 'Good' 'Bad']
FM 3040 West 297 Round Grove Crossing 2520,3,['Unknown' 'Good']
FM 3040 West 301 Blum's Donuts 2571,1,['Unknown']
FM 3040 West 301 Deer Crossing 2518,2,['Good' 'Unknown']
FM 3040 West 409 Huntington Circle Apartments - Phases 1 & 2 2757,38,['Unknown' 'Good' 'Bad']
FM 3040 West 725 Valero Station Expansion 2062-08,7,['Unknown' 'Good']
FM 3040 West 751 Razaz Car Wash 2044-08,19,['Unknown' 'Good' 'Bad']
FM 3040 West 761 Zoomers Automotive 2200-13,13,['Unknown']
FM 3040 West 771 Edmond Plaza East & West 2228-14,11,['Unknown']
FM 3040 West 940 Crest Manor Apartments 2067-08,76,['Unknown' 'Bad' 'Good']
FM 3040 West 951 Design Floors 2294-16,22,['Unknown' 'Good']
FM 407  1425 Justin Road Center 2140,4,['Unknown']
FM 407 1128 GTE Exchange Building 2568,1,['Good']
FM 407 1175 The Whistles Stop 2725,1,['Unknown']
FM 407 1230 Caliber Collision Center 2219-14,15,['Unknown' 'Good']
FM 407 1231 Quiktrip Store #942 2029-07,45,['Unknown' 'Good']
FM 407 1297 McGee Lane Retail Center 2543,1,['Unknown']
FM 407 1297 McGee Lane Retail Center 2559,6,['Unknown' 'Good']
FM 407 1297 McGee Lane Retail Center 2609,6,['Unknown' 'Good']
FM 407 1299 Wash & Lube Center Public Improvements 2510,1,['Good']
FM 407 1301 McGee Lane Shopping Center 2558,9,['Good' 'Unknown']
FM 407 1402 North Texas Bank 2691,2,['Unknown']
FM 407 1425 Justin Road Center 2651,2,['Unknown']
FM 407 1479 Texas New Mexico Power Company 2569,3,['Unknown']
FM 544 2401  The Learning Experience @ Lewisville 2276-15,18,['Unknown' 'Good' 'Bad']
Fireside Ln Fireside Village 2269-15 - Not Accepted - Utilities in,20,['Unknown' 'Bad' 'Good']
Fish Hatchery Rd 160 Agricultural Barn at LISD OLA 2074-09,9,['Unknown' 'Good']
Fork Circle North 885 Lewisville Granite 2326-17,21,['Unknown' 'Good' 'Bad']
Fox Ave 1001 Mobil Oil & 7-Eleven 2513,2,['Good' 'Unknown']
Fox Ave 1019 K-Mart 2556,4,['Unknown']
Fox Ave 1020 Basswood Manor Apartments 2557,3,['Unknown' 'Bad' 'Good']
Fox Haven Addition 2617,5,['Unknown' 'Good']
Franklin St 2014,4,['Unknown']
Franklin St 649 National Switchgear Systems 2082-09,20,['Unknown' 'Good' 'Bad']
GTE Training Office Facility 2762,7,['Unknown']
Garden Park - Phase 2 2091,13,['Unknown' 'Good']
Garden Ridge  Estates No,1,['Unknown']
Garden Ridge Addition - Phase 1 2083,25,['Unknown' 'Good']
Garden Ridge Blvd 102 University Place Church of Christ 2739,2,['Unknown']
Garden Ridge Blvd 2103,14,['Unknown' 'Good']
